timestamp,X_vel,Y_vel,Z_vel,R_vel,X_pose,Y_pose,Z_pose
1702056531.872586,-0.011,0.027000000000000003,0.008,-0.0014575435779988766,2.1197617053985596,0.18661755323410034,-0.7585986852645874
1702056531.922112,-0.011,0.027000000000000003,0.008,-0.0014575435779988766,2.1197617053985596,0.18661755323410034,-0.7585986852645874
1702056531.9741843,-0.018,0.027000000000000003,0.01,0.0019927306566387415,2.1254162788391113,0.18256768584251404,-0.7556703686714172
1702056532.0239768,-0.018,0.027000000000000003,0.01,0.0019927306566387415,2.1254162788391113,0.18256768584251404,-0.7556703686714172
1702056532.0766518,-0.018,0.027000000000000003,0.01,0.002696848474442959,2.1254162788391113,0.18256768584251404,-0.7556703686714172
1702056532.1259854,-0.018,0.027000000000000003,0.01,0.002696848474442959,2.1254162788391113,0.18256768584251404,-0.7556703686714172
1702056532.1817575,-0.01,0.007000000000000001,0.037,-0.00314887217245996,2.1275012493133545,0.1787697672843933,-0.7454773187637329
1702056532.2290902,-0.01,0.007000000000000001,0.037,-0.00314887217245996,2.1275012493133545,0.1787697672843933,-0.7454773187637329
1702056532.2835674,-0.01,0.007000000000000001,0.037,0.008667796850204468,2.1275012493133545,0.1787697672843933,-0.7454773187637329
1702056532.3316972,-0.01,0.007000000000000001,0.037,0.008667796850204468,2.1275012493133545,0.1787697672843933,-0.7454773187637329
1702056532.3853352,-0.006,-0.008,0.013000000000000001,0.016144972294569016,2.1256773471832275,0.17781516909599304,-0.7429745197296143
1702056532.43322,-0.006,-0.008,0.013000000000000001,0.016144972294569016,2.1256773471832275,0.17781516909599304,-0.7429745197296143
1702056532.485655,-0.006,-0.008,0.013000000000000001,0.003182235173881054,2.1256773471832275,0.17781516909599304,-0.7429745197296143
1702056532.534971,-0.006,-0.008,0.013000000000000001,0.003182235173881054,2.1256773471832275,0.17781516909599304,-0.7429745197296143
1702056532.5871377,-0.011,-0.014000000000000002,-0.006,-0.0005858425283804536,2.1240062713623047,0.1758228838443756,-0.7462771534919739
1702056532.6372578,-0.011,-0.014000000000000002,-0.006,-0.0005858425283804536,2.1240062713623047,0.1758228838443756,-0.7462771534919739
1702056532.6903484,-0.011,-0.014000000000000002,-0.006,0.003788868198171258,2.1240062713623047,0.1758228838443756,-0.7462771534919739
